containerID=com.apple.security.keychain:Production	applicationBundleID=com.apple.TrustedPeersHelper
containerID=com.apple.security.keychain:Production	applicationBundleID=com.apple.securityd
containerID=com.apple.security.shared.keychain:Production	applicationBundleID=com.apple.securityd
containerID=com.apple.shortcuts:Production	applicationBundleID=com.apple.siriactionsd
containerID=com.apple.siri.knowledge:Production	applicationBundleID=com.apple.siriknowledged
containerID=com.apple.siri.profile:Production	applicationBundleID=com.apple.assistant.assistantd
containerID=com.apple.siriactions:Production	applicationBundleID=com.apple.siriactionsd
containerID=com.apple.statuskit:Production	applicationBundleID=com.apple.StatusKitAgent
containerID=com.apple.stickers.user:Production	applicationBundleID=com.apple.stickersd
containerID=com.apple.stocks.private:Production	applicationBundleID=com.apple.stocks.widget
containerID=com.apple.textinput.KeyboardServices:Production	applicationBundleID=com.apple.textinput.KeyboardServices
containerID=com.apple.transparency.storage:Production	applicationBundleID=com.apple.transparencyd
containerID=com.apple.trial:Production	applicationBundleID=com.apple.triald
containerID=com.apple.willow.config:Production	applicationBundleID=com.apple.willowd
containerID=com.apple.willow.engrave:Production	applicationBundleID=com.apple.willowd
containerID=iCloud.com.example.notesync:Sandbox	applicationBundleID=com.example.notesync
containerID=iCloud.com.example.mailapp:Sandbox	applicationBundleID=com.example.mailapp
containerID=iCloud.company.thebrowser.Browser:Production	applicationBundleID=company.thebrowser.Browser
